system;trivial;use
methanal;formaldehyd;výroba pryskyřic, lepidel, hnojiv
ethanal;acetaldehyd;meziprodukt pro výrobu dalších chemikálií
propan-2-on;aceton;rozpouštědlo, odlakovač
ethanová kyselina;kyselina octová;ocet
methanová kyselina;kyselina mravenčí;vyskytuje se v mravenčím jedu
ethen;ethylen;výroba polyethylenu, rostlinný hormon
ethan-1,2-diol;ethylenglykol;nemrznoucí směsi do aut
propan-1,2,3-triol;glycerol;zvlhčovadlo v kosmetice a potravinářství
propan-1,2-diol;propylenglykol;kosmetika, potravinářství, zubní pasty, elektronické cigarety, deodoranty…
ethanol;líh;chlast
methanol;methanol / methylalkohol / dřevný líh;rozpouštědlo, nemrznoucí směsi. Chuťově stejný jako líh, při požití smrtelně jedovatý.
3-hydroxy-3-(karboxy)pentandiová kyselina;kyselina citronová;konzervant, ochucovadlo. Přirozeně se vyskytuje v ovoci.
ethandiová kyselina;kyselina šťavelová;vyskytuje se v některém ovoci a zelenině. Ve větším množství je zdraví škodlivá, zabraňuje vstřebávání minerálů.
2,3-dihydroxybutandiová kyselina;kyselina vinná;podobně jako kyselina citronová se používá jako ochucovadlo a konzervant. Přirozeně se vyskytuje v některém ovoci.
